幣種,描述
TWT,Trust Wallet Token,Trust Wallet 的實用型代幣，用於支付交易手續費、參與治理等。
IBERA,基於Bera鏈的加密貨幣。
GRASS,將未使用的網絡資源轉化為新經濟的協議。
CGETH.HASHKEY,cgETH Hashkey Cloud,Hashkey Cloud 協議中質押的以太幣的代表。
OHM,Olympus 去中心化儲備貨幣協議，旨在建立一種不受政府控制的價值儲存方式。
TBTC,以太坊上比特幣的權益代表。
LUNC,Terra Luna Classic,Terra 區塊鏈的原始鏈，在 UST 穩定幣崩盤後，社群決定保留 LUNC 鏈。
FRAX,部分抵押的穩定幣，旨在提供價格穩定性和去中心化特性。
BEAM,專注於遊戲的區塊鏈平台。
AMP,抵押代幣，用於擔保交易，確保交易的安全性。
STBTC,Lorenzo stBTC 由 Lorenzo 協議發行的抵押比特幣的代幣。
FARTCOIN,幽默的加密貨幣，社群性質強烈。
GNO,Gnosis 預測市場平台，旨在提供準確、可靠的預測資訊。
USDT,在 Mantle 網絡上的 USDT 的橋接版本。
MINA,Mina Protocol 輕量級區塊鏈，採用 zk-SNARKs 技術，實現恆定大小的區塊鏈。
BRETT,基於 "Boy's Club" 迷因的加密貨幣。
BUSD,Binance-Peg BUSD Binance 發行的穩定幣，與美元 1:1 錨定，受監管且透明。
RSR,旨在建立一個去中心化的穩定幣系統，提供價格穩定性和去中心化特性。
BERASTONE,StakeStone Berachain Vault Token 在Berachain鏈上運行。
KAITO,加密貨幣，旨在支持人工智能的開發和應用。
AIOZ,AIOZ Network 分佈式內容交付網絡，旨在優化流媒體。
MORPHO,專注於優化 DeFi 借貸協議的協議。
VRSC,VerusCoin 開源的公共區塊鏈，旨在提供快速、安全、私密的交易。
AKT,Akash Network 去中心化雲計算平台，旨在建立一個開放、分散式的雲計算市場。
